Manufacturer,Model,Variant,Top speed,Acceleration,Capacity,Charging time,Nominal range,Market release date and sales,,,
Hyundai,Ioniq Electric,MY20,165 km/h (103 mph)[8],9.9 s[8],4,Domestic socket (220 V / 12 A): 16 h,311 km (193 mi) (WLTP)[8],"Production commenced in late 2016, with sales commencing in 2017",,,
,,,,,,Type 2 charger (3.6 kW): 11.5 h,270 km (170 mi) (EPA)[9],,,,
,,,,,,Type 2 charger (22 kW): 6 h,,,,,
,,,,,,CCS type 2 charger (50 kW): 57 min,,,,,
,,,,,,CCS type 2 charger (100 kW): 54 min[8],,,,,
Hyundai,Kona Electric,,167 km/h (104 mph)[10],6.4 s[11],5,,470 km (292 mi) (WLTP),"Presented on Geneva Motor Show 2018, sales starting summer 2018[12]",,,
Jaguar Land Rover,Jaguar I-Pace,,"200 km/h (124 mph), electronically limited",4.8 s,5,,350 km (215 miles) (EPA),2018,,,
Kandi,K23,,112 km/h (70 mph),,4,7.5 hours on Level 2 (240 v @ 32 amp),302 km (188 miles),2018,,,
Kandi,K27,,100 km/h (62 mph),,4,7 hours on Level 2 (240 v @ 16 amp),161 km (100 miles),2018,,,
Kia,Soul EV,,145 km/h (90 mph),11.2,5,"4–5 hours (208 V - 6.6 kW: 4h 50min, 240 V - 6.6 kW: 4h 10min.)","(2016,2017) 150 km (93 mi)",2014,,,
,,,,,,Type 3: 33 minutes for up to 80%. Type 1: Up to 24 hours,(2018) 179 km (111 mi),,,,
,,,,,,,(2020) 391 km (243 mi),,,,
,,,,,,,(EPA),,,,
Kia,e-Niro,39.2 kWh,155 km/h (96 mph)[13],9.8 s[13],5,,289 km (180 mi) (WLTP)[14],?,,,
,,,,,,,385 km (239 mi) (EPA)[15],,,,
Kia,e-Niro,64 kWh,167 km/h (104 mph)[13],7.8 s[13],5,,455 km (283 mi) (WLTP)[16],?,,,
Kyburz,Race,,140 km/h,4 s,2,0-100% in under 4 hours,220 km (137 mi),2016,,,
Lightning,Lightning GT,,200 km/h (124 mph),5 s,2,under an hour,240 km (149 mi),Production expected to begin in 2020,,,
Mahindra,e2o plus,,82 km/h (51 mph),,4,"5 – 8 hours (Home socket: 220 V, 16 A), 1.5 hours (Fast Charge: Commercial 3-phase AC, up to 12 kW)",110–140 km (68–87 mi),November 2016[17],,,
Mahindra,e-Verito,,85 km/h (53 mph),,5,"6 – 8 hours (Home Socket: 220 V, 16 A), 2.01 hours (Fast Charging: with 15 kW charger)",110–180 km (68–112 mi),January 2017[18],,,
Mercedes-Benz,B-Class Electric Drive,,160 km/h (99 mph),7.9 s,5,9 hours when charging from 220/240 V outlet; 2.4 hours from 400 V,200 km (124 mi),2015,,,
Mercedes-Benz,EQC,,180 km/h (112 mph),4.9 s,5,12 hours,354 km (220 mi),2019,,,
MG Motor,ZS EV,,140 km/h (87 mph),8.2 s,5,7.45 hours,263 km (163 mi)(WLTP),2018,,,
Micro Mobility Systems,Microlino,,90 km/h (56 mph),,2 [19],"1 hours w/ Type 2 connector, 4 hours w/ domestic power [19]",120–215 km (75–134 mi) (depending on battery) [19],Late 2018 (initially only in Germany and Switzerland),,,
Mitsubishi,i-MiEV,,130 km/h (81 mph),,4,"7 to 14 hours when charged from household, depending on the type of power; 30 minutes when charging from a quick charger system (80% charged)[20]",170 km (106 mi),"Released in Japan in July 2009 for fleet customers. Available in Japan, Hong Kong, Australia, Europe, the U.S., Canada and some Latin American countries.",,,
,,,,,,,,"As of June 2016, and accounting for all variants of the i-MiEV, including the rebadged Peugeot iOn and Citroën C-Zero sold in Europe, about 37,600 units have been sold worldwide since 2009.[21]",,,
Motores Limpios,Zacua,,85 km/h,,2,8 hours,160 km (99 mi),2017 in Mexico,,,
MW Motors,Luka EV,,148 km/h (92 mph),9.3 s,2,9 hours standard domestic socket. 2 hours with 3 phase rapid charger,300 km (186 mi)(unverified),16-Jul,,,
NIO,ES8,,200 km/h (124 mph),4.4 s,7,0.8h (0%-80% SOC)DC Charge,355 km (221 mi) (NEDC),Released in China in 2017,,,
,,,,,,7.5-8h (0-80% SOC)AC Charge,,,,,
NIO,ES6,,200 km/h (124 mph),4.7s,5,"Intelligent e-AWD system consists of a 160kW PM motor and a 240kW induction motor, a duo of efficiency and performance.",410–510 km (255–315 mi),Released in China in 2019,,,
NIO,EC6,,,5.6s (320kW),5,320kW model with PM motor front and rear. 400kW model with PM front and induction motor in rear.,615 km with optional 100kW battery pack,To release in China in 2020,,,
,,,,4.7s (400kW),,,,,,,
Nissan,Leaf,,150 km/h (93 mph),,5,"Up to 20 hours when charged from 110/120 V outlet; 8 hours when charging from 220/240 V outlet; 30 minutes for 440 V ""quick charge"" (to 80% of battery capacity)",252 km (157 mi) with 40 kWh battery [22],"Released in the U.S. and Japan in December 2010, is available in 46 countries. The Leaf is the top selling electric car in history, with global sales of more than 250,000 units through December 2016.[23] 2016 LEAFs have an optional 40 kWh battery.",,,
,,,,,,,200 km (120 mi) (NEDC),,,,
Peugeot,i0n,,130 km/h (81 mph),15.9 s,4,7 hours when charged from household; 30 minutes when charging from a quick charger system[7],150 km (93 mi),Rebranded Mitsubishi i-MiEV; since 2010 Available in Europe.,,,
Peugeot,Peugeot e208,,,,,,,,,,
Peugeot,Peugeot e2008,,,,,,,,,,
Polestar,2,,,4.7 s,5,,"470 km (292 mi) (WLTP), 275 mi (443 km) (EPA)","2020 (Belgium, Canada, China, Germany, Netherlands, Norway, Sweden, Switzerland, UK, US)",,,
Rayttle,E28,,80 km/h (50 mph),,2,,130 km (81 mi),Chinese clone of the Renault Twizy. Sales began in China in September 2014.[25],,,
Renault,Zoe,,"135 km/h (84 mph), electronically limited",13.5 s,5,"Six to nine hours with 3.7 kW, 30 minutes with 43 kW (80%)",400 km (250 mi) 41 kWh battery,"Released in France in December 2012. Global cumulative sales totaled to nearly 130,000 units by the end of 2018.[27][28]",,,
,,,,11.4 s (R110),,,210 km (130 mi) 22 kWh battery,,,,
Renault,Twizy,,80 km/h (50 mph) (Urban 80 version),,2,3.5 hours,100 km (62 mi),From March 2012. Available in Europe.,,,
,,,,,,,,"As of June 2016, global sales totaled 17,873 units, mostly in Europe.[29]",,,
Renault,Renault Kangoo Z.E.,,,,,,,,,,
Renault / Renault Samsung,Fluence Z.E. / SM3 Z.E.,,"135 km/h (84 mph), electronically limited",,5,22 kWh battery: 6 to 8 hours on a 220 V 10 A or 16 A domestic socket; 30 minutes on a 400 V 32 A fast charging station; or battery swap in 5 minutes (Better place),213 km (132 mi) (36 kWh battery)[26],"Released in France in 2010, Israel in Jan 2012, UK in Jan 2012, Turkey in May 2012, South Korea in 2013.",,,
,,,,,,,135 km (84 mi) + 15 km limp home mode (22 kWh battery),,,,
SEAT,Mii Electric,,130 km/h (81 mph),12.3 s,4,0-80% 1 Hour,260 km (162 mi) (WLTP),Available in Europe since 2019,,,
Skoda,CITIGOe IV,,130 km/h (81 mph),12.3 s,4,0-80% 1 Hour,260 km (162 mi) (WLTP),Available in Europe since 2019,,,
Smart,Smart electric drive,,125 km/h (78 mph),11.5 s,2,,145 km (90 mi),"Available in Europe, the United States and Canada. Global sales totaled about 12,250 units through December 2014.",,,
,,,,,,,,"The second generation, launched in 2009, sold over 2,300 units through 2012,[30] and almost 10,000 units of the third generation, launched in 2013, have been sold through December 2014.[31][32]",,,
Sono Motors,Sion,,140 km/h (87 mph)[33],9 s (approximately)[33],5[33],"Eight hours with 3.7 kW,",250 km (160 mi) (this is real world range according to the company[35]),To be released in Germany in mid-2019.,,,
,,,,,,30 minutes with 50 kW (80%)[33][34],35 kWh battery[33],Prototype for test-drives in Europe.,,,
,,,,,,,,"Preorder: EUR 16.000,- + EUR 4.000,- (battery)[33]",,,
Stevens,ZeCar,,90 km/h (56 mph)[36],,5[37],6–8 hours[38],80 km (50 mi),8-Mar,,,
Tata Motors,Tata Nexon,,120 km/h (75 mph),9.9 s,5,8 hours,300 km (186 mi)(IDC),2019,,,
Tesla,Model S,Long Range,250 km/h (160 mph)[39],3.8 s[40],5 + 2[Note 1],8 hours with home charging; 50% in ~20 minutes from a Tesla Supercharger[41],610 km (379 mi) (WLTP)[40],First released in the U.S. in June 2012.[23],,,
,,,,,,,629 km (391 mi) (EPA)[42],,,,
Tesla,Model S,Performance,261 km/h (162 mph)[39],2.5 s[40],5 + 2[Note 1],8 hours with home charging; 50% in ~20 minutes from a Tesla Supercharger[41],593 km (368 mi) (WLTP)[40],First released in the U.S. in June 2012.[23],,,
,,,,,,,560 km (348 mi) (EPA)[42],,,,
Tesla,Model X,Long Range,250 km/h (160 mph)[43],4.6 s[44],5-7[44],8 hours with home charging; 50% in ~20 minutes from a Tesla Supercharger[41],507 km (315 mi) (WLTP)[44],First released in the U.S. in September 2015.[46],,,
,,,,,,,565 km (351 mi) (EPA)[45],,,,
Tesla,Model X,Performance,250 km/h (160 mph)[43],2.8 s[44],5-7[44],8 hours with home charging; 50% in ~20 minutes from a Tesla Supercharger[41],487 km (303 mi) (WLTP)[44],First released in the U.S. in September 2015.[46],,,
,,,,,,,491 km (305 mi) (EPA)[45],,,,
Tesla,Model 3,Long Range,233 km/h (145 mph)[47],4.6 s[48],5[48],"7.3h for 100%, ~14% per hour with home charger, 50% in ~30 minutes from a Tesla Supercharger",560 km (348 mi) (WLTP)[48],2017,,,
,,,,,,,518 km (322 mi) (EPA)[49],,,,
Tesla,Model 3,Performance,261 km/h (162 mph)[47],3.4 s[48],5[48],"7.3h for 100%, ~14% per hour with home charger, 50% in ~30 minutes from a Tesla Supercharger",530 km (329 mi) (WLTP)[48],2017,,,
,,,,,,,481 km (299 mi) (EPA)[49],,,,
Tesla,Model 3,Standard Range Plus,225 km/h (140 mph)[47],5.6 s[48],5[48],"7.3h for 100%, ~14% per hour with home charger, 50% in ~30 minutes from a Tesla Supercharger",409 km (254 mi) (WLTP)[48],2017,,,
,,,,,,,400 km (250 mi) (EPA)[49],,,,
Tesla,Model Y,Long Range,217 km/h (135 mph)[50],5.1 s[50],5-7[50],"7.3h for 100%, ~14% per hour with home charger, 50% in ~30 minutes from a Tesla Supercharger",505 km (314 mi) (WLTP)[50],"Released in the US on March 13, 2020",,,
,,,,,,,509 km (316 mi) (EPA)[51],,,,
Tesla,Model Y,Performance,241 km/h (150 mph)[50],3.7 s[50],5-7[50],"7.3h for 100%, ~14% per hour with home charger, 50% in ~30 minutes from a Tesla Supercharger",480 km (298 mi) (WLTP)[50],"Released in the US on March 13, 2020",,,
,,,,,,,507 km (315 mi) (EPA)[51],,,,
Venturi,Fétish,,200 km/h (124 mph),4 s,2,"3 hours with external charge booster, 8 hours with onboard charging system",340 km (211 mi),2006 to present,,,
Volkswagen,e-Golf,MY2020,150 km/h (93 mph)[52],9.6 s[52],5,SE and SEL Premium in under 6 hours at a 240 V charging station. Optional (standard on SEL Premium) DC Fast Charging to 80% in 1 hour at a DC fast charging station.,232 km (144 mi) (WLTP)[52],Released in Europe in March 2014. Updated model with new battery management system released in Europe in July 2017.,,,
Volkswagen,e-up!,MY2019,130 km/h (81 mph)[53],11.9 s[53],4,Charge time AC 2.3 KW 100% SOC: 16:12,256 km (159 mi) (WLTP)[53],Updated in 2019,,,
,,,,,,Charge time DC 40 KW 80% SOC: 01:00[53],,,,,
Volkswagen,ID.4,,160 km/h (100 mph)[54],,5[55],,"400 km (250 mi) (EPA, North America)",2020 - Present,,,
,,,,,,,500 km (310 mi) (Europe)[56],,,,
Volkswagen,ID.3,45 kWh,160 km/h (100 mph)[57],,5[58],,330 km (205 mi) (WLTP),2019 - Present,,,
Volkswagen,ID.3,58 kWh,160 km/h (100 mph)[57],,5[58],,420 km (260 mi) (WLTP),2019 - Present,,,
Volkswagen,ID.3,77 kWh,160 km/h (100 mph)[57],,4[58],,550 km (340 mi) (WLTP),2019 - Present,,,
Xpeng,G3,400,170 km/h (110 mph)[59],8.5 s[59],5[59],DC Charging Time (30% to 80%): 38min,401 km (249 mi) (NEDC)[59],?,,,
,,,,,,AC Charging Time (30% to 80%): 4.3h[59],,,,,
Xpeng,G3,520,170 km/h (110 mph)[59],8.6 s[59],5[59],DC Charging Time (30% to 80%): 30min,520 km (323 mi) (NEDC)[59],?,,,
,,,,,,AC Charging Time (30% to 80%): 5.5h[59],,,,,
Xpeng,P7,High Performance,170 km/h (110 mph)[60],4.3 s[60],5[60],DC Charging Time (30% to 80% charge): 31min,552 km (343 mi) (NEDC)[60],?,,,
,,,,,,AC Charging Time (30% to 80% charge): 6.5h,,,,,
,,,,,,Three-phase Electric Charging Time (30% to 80% charge): 4.2h[60],,,,,
Xpeng,P7,Long Range,170 km/h (110 mph)[60],6.7 s[60],5[60],DC Charging Time (30% to 80% charge): 28 min,568 km (353 mi) (NEDC)[60],?,,,
,,,,,,AC Charging Time (30% to 80% charge): 5.7h,,,,,
,,,,,,Three-phase Electric Charging Time (30% to 80% charge): 3.6h[60],,,,,
Xpeng,P7,Super Long Range Standard,170 km/h (110 mph)[60],6.7 s[60],5[60],DC Charging Time (30% to 80% charge): 31min,706 km (439 mi) (NEDC)[60],?,,,
,,,,,,AC Charging Time (30% to 80% charge): 6.5h,,,,,
,,,,,,Three-phase Electric Charging Time (30% to 80% charge): 4.2h[60],,,,,
Xpeng,P7,Super Long Range Smart/Premium,170 km/h (110 mph)[60],6.7 s[60],5[60],DC Charging Time (30% to 80% charge): 31min,656 km (408 mi) (NEDC)[60],?,,,
,,,,,,AC Charging Time (30% to 80% charge): 6.5h,,,,,
,,,,,,Three-phase Electric Charging Time (30% to 80% charge): 4.2h[60],,,,,
